location,city,country,utc,local,parameter,value,unit,latitude,longitude,attribution
"Murthal, Sonipat - HSPCB",Sonipat,IN,2019-09-29T18:30:00.000Z,2019-09-30T00:00:00+05:30,pm25,8.35,µg/m³,29.0272,77.0669191,"[{""name"":""Central Pollution Control Board"",""url"":""https://app.cpcbccr.com/ccr/#/caaqm-dashboard-all/caaqm-landing""}]"
"Murthal, Sonipat - HSPCB",Sonipat,IN,2019-09-29T18:00:00.000Z,2019-09-29T23:30:00+05:30,pm25,8.85,µg/m³,29.0272,77.0669191,"[{""name"":""Central Pollution Control Board"",""url"":""https://app.cpcbccr.com/ccr/#/caaqm-dashboard-all/caaqm-landing""}]"
"Murthal, Sonipat - HSPCB",Sonipat,IN,2019-09-29T17:45:00.000Z,2019-09-29T23:15:00+05:30,pm25,8.85,µg/m³,29.0272,77.0669191,"[{""name"":""Central Pollution Control Board"",""url"":""https://app.cpcbccr.com/ccr/#/caaqm-dashboard-all/caaqm-landing""}]"
"Murthal, Sonipat - HSPCB",Sonipat,IN,2019-09-29T17:30:00.000Z,2019-09-29T23:00:00+05:30,pm25,10.36,µg/m³,29.0272,77.0669191,"[{""name"":""Central Pollution Control Board"",""url"":""https://app.cpcbccr.com/ccr/#/caaqm-dashboard-all/caaqm-landing""}]"
"Murthal, Sonipat - HSPCB",Sonipat,IN,2019-09-29T17:15:00.000Z,2019-09-29T22:45:00+05:30,pm25,10.97,µg/m³,29.0272,77.0669191,"[{""name"":""Central Pollution Control Board"",""url"":""https://app.cpcbccr.com/ccr/#/caaqm-dashboard-all/caaqm-landing""}]"
"Murthal, Sonipat - HSPCB",Sonipat,IN,2019-09-29T17:00:00.000Z,2019-09-29T22:30:00+05:30,pm25,10.97,µg/m³,29.0272,77.0669191,"[{""name"":""Central Pollution Control Board"",""url"":""https://app.cpcbccr.com/ccr/#/caaqm-dashboard-all/caaqm-landing""}]"
"Murthal, Sonipat - HSPCB",Sonipat,IN,2019-09-29T16:45:00.000Z,2019-09-29T22:15:00+05:30,pm25,10.97,µg/m³,29.0272,77.0669191,"[{""name"":""Central Pollution Control Board"",""url"":""https://app.cpcbccr.com/ccr/#/caaqm-dashboard-all/caaqm-landing""}]"
"Murthal, Sonipat - HSPCB",Sonipat,IN,2019-09-29T16:30:00.000Z,2019-09-29T22:00:00+05:30,pm25,9.74,µg/m³,29.0272,77.0669191,"[{""name"":""Central Pollution Control Board"",""url"":""https://app.cpcbccr.com/ccr/#/caaqm-dashboard-all/caaqm-landing""}]"
"Murthal, Sonipat - HSPCB",Sonipat,IN,2019-09-29T15:45:00.000Z,2019-09-29T21:15:00+05:30,pm25,9.24,µg/m³,29.0272,77.0669191,"[{""name"":""Central Pollution Control Board"",""url"":""https://app.cpcbccr.com/ccr/#/caaqm-dashboard-all/caaqm-landing""}]"
"Murthal, Sonipat - HSPCB",Sonipat,IN,2019-09-29T15:30:00.000Z,2019-09-29T21:00:00+05:30,pm25,11.99,µg/m³,29.0272,77.0669191,"[{""name"":""Central Pollution Control Board"",""url"":""https://app.cpcbccr.com/ccr/#/caaqm-dashboard-all/caaqm-landing""}]"
"Murthal, Sonipat - HSPCB",Sonipat,IN,2019-09-29T15:00:00.000Z,2019-09-29T20:30:00+05:30,pm25,13.04,µg/m³,29.0272,77.0669191,"[{""name"":""Central Pollution Control Board"",""url"":""https://app.cpcbccr.com/ccr/#/caaqm-dashboard-all/caaqm-landing""}]"
"Murthal, Sonipat - HSPCB",Sonipat,IN,2019-09-29T14:45:00.000Z,2019-09-29T20:15:00+05:30,pm25,13.04,µg/m³,29.0272,77.0669191,"[{""name"":""Central Pollution Control Board"",""url"":""https://app.cpcbccr.com/ccr/#/caaqm-dashboard-all/caaqm-landing""}]"
"Murthal, Sonipat - HSPCB",Sonipat,IN,2019-09-29T14:15:00.000Z,2019-09-29T19:45:00+05:30,pm25,8.19,µg/m³,29.0272,77.0669191,"[{""name"":""Central Pollution Control Board"",""url"":""https://app.cpcbccr.com/ccr/#/caaqm-dashboard-all/caaqm-landing""}]"
"Murthal, Sonipat - HSPCB",Sonipat,IN,2019-09-29T13:45:00.000Z,2019-09-29T19:15:00+05:30,pm25,8.19,µg/m³,29.0272,77.0669191,"[{""name"":""Central Pollution Control Board"",""url"":""https://app.cpcbccr.com/ccr/#/caaqm-dashboard-all/caaqm-landing""}]"
"Murthal, Sonipat - HSPCB",Sonipat,IN,2019-09-29T13:30:00.000Z,2019-09-29T19:00:00+05:30,pm25,10.55,µg/m³,29.0272,77.0669191,"[{""name"":""Central Pollution Control Board"",""url"":""https://app.cpcbccr.com/ccr/#/caaqm-dashboard-all/caaqm-landing""}]"
