location,city,country,utc,local,parameter,value,unit,latitude,longitude,attribution
"Rohini, Delhi - DPCC",Delhi,IN,2019-10-24T06:45:00.000Z,2019-10-24T12:15:00+05:30,o3,86.3,µg/m³,28.732528,77.11992,"[{""name"":""Central Pollution Control Board"",""url"":""https://app.cpcbccr.com/ccr/#/caaqm-dashboard-all/caaqm-landing""}]"
"Rohini, Delhi - DPCC",Delhi,IN,2019-10-24T06:30:00.000Z,2019-10-24T12:00:00+05:30,o3,81,µg/m³,28.732528,77.11992,"[{""name"":""Central Pollution Control Board"",""url"":""https://app.cpcbccr.com/ccr/#/caaqm-dashboard-all/caaqm-landing""}]"
"Rohini, Delhi - DPCC",Delhi,IN,2019-10-24T06:15:00.000Z,2019-10-24T11:45:00+05:30,o3,73.9,µg/m³,28.732528,77.11992,"[{""name"":""Central Pollution Control Board"",""url"":""https://app.cpcbccr.com/ccr/#/caaqm-dashboard-all/caaqm-landing""}]"
"Rohini, Delhi - DPCC",Delhi,IN,2019-10-24T06:00:00.000Z,2019-10-24T11:30:00+05:30,o3,68,µg/m³,28.732528,77.11992,"[{""name"":""Central Pollution Control Board"",""url"":""https://app.cpcbccr.com/ccr/#/caaqm-dashboard-all/caaqm-landing""}]"
"Rohini, Delhi - DPCC",Delhi,IN,2019-10-24T05:45:00.000Z,2019-10-24T11:15:00+05:30,o3,66.8,µg/m³,28.732528,77.11992,"[{""name"":""Central Pollution Control Board"",""url"":""https://app.cpcbccr.com/ccr/#/caaqm-dashboard-all/caaqm-landing""}]"
"Rohini, Delhi - DPCC",Delhi,IN,2019-10-24T05:30:00.000Z,2019-10-24T11:00:00+05:30,o3,59.2,µg/m³,28.732528,77.11992,"[{""name"":""Central Pollution Control Board"",""url"":""https://app.cpcbccr.com/ccr/#/caaqm-dashboard-all/caaqm-landing""}]"
"Rohini, Delhi - DPCC",Delhi,IN,2019-10-24T05:15:00.000Z,2019-10-24T10:45:00+05:30,o3,54,µg/m³,28.732528,77.11992,"[{""name"":""Central Pollution Control Board"",""url"":""https://app.cpcbccr.com/ccr/#/caaqm-dashboard-all/caaqm-landing""}]"
"Rohini, Delhi - DPCC",Delhi,IN,2019-10-24T05:00:00.000Z,2019-10-24T10:30:00+05:30,o3,46,µg/m³,28.732528,77.11992,"[{""name"":""Central Pollution Control Board"",""url"":""https://app.cpcbccr.com/ccr/#/caaqm-dashboard-all/caaqm-landing""}]"
"Rohini, Delhi - DPCC",Delhi,IN,2019-10-24T04:45:00.000Z,2019-10-24T10:15:00+05:30,o3,38.6,µg/m³,28.732528,77.11992,"[{""name"":""Central Pollution Control Board"",""url"":""https://app.cpcbccr.com/ccr/#/caaqm-dashboard-all/caaqm-landing""}]"
"Rohini, Delhi - DPCC",Delhi,IN,2019-10-24T04:30:00.000Z,2019-10-24T10:00:00+05:30,o3,31.7,µg/m³,28.732528,77.11992,"[{""name"":""Central Pollution Control Board"",""url"":""https://app.cpcbccr.com/ccr/#/caaqm-dashboard-all/caaqm-landing""}]"
"Rohini, Delhi - DPCC",Delhi,IN,2019-10-24T04:00:00.000Z,2019-10-24T09:30:00+05:30,o3,30.2,µg/m³,28.732528,77.11992,"[{""name"":""Central Pollution Control Board"",""url"":""https://app.cpcbccr.com/ccr/#/caaqm-dashboard-all/caaqm-landing""}]"
"Rohini, Delhi - DPCC",Delhi,IN,2019-10-24T03:45:00.000Z,2019-10-24T09:15:00+05:30,o3,31.3,µg/m³,28.732528,77.11992,"[{""name"":""Central Pollution Control Board"",""url"":""https://app.cpcbccr.com/ccr/#/caaqm-dashboard-all/caaqm-landing""}]"
"Rohini, Delhi - DPCC",Delhi,IN,2019-10-24T03:30:00.000Z,2019-10-24T09:00:00+05:30,o3,23.1,µg/m³,28.732528,77.11992,"[{""name"":""Central Pollution Control Board"",""url"":""https://app.cpcbccr.com/ccr/#/caaqm-dashboard-all/caaqm-landing""}]"
"Rohini, Delhi - DPCC",Delhi,IN,2019-10-24T03:15:00.000Z,2019-10-24T08:45:00+05:30,o3,13.3,µg/m³,28.732528,77.11992,"[{""name"":""Central Pollution Control Board"",""url"":""https://app.cpcbccr.com/ccr/#/caaqm-dashboard-all/caaqm-landing""}]"
"Rohini, Delhi - DPCC",Delhi,IN,2019-10-24T03:00:00.000Z,2019-10-24T08:30:00+05:30,o3,7.3,µg/m³,28.732528,77.11992,"[{""name"":""Central Pollution Control Board"",""url"":""https://app.cpcbccr.com/ccr/#/caaqm-dashboard-all/caaqm-landing""}]"
"Rohini, Delhi - DPCC",Delhi,IN,2019-10-24T02:45:00.000Z,2019-10-24T08:15:00+05:30,o3,6.7,µg/m³,28.732528,77.11992,"[{""name"":""Central Pollution Control Board"",""url"":""https://app.cpcbccr.com/ccr/#/caaqm-dashboard-all/caaqm-landing""}]"
"Rohini, Delhi - DPCC",Delhi,IN,2019-10-24T02:30:00.000Z,2019-10-24T08:00:00+05:30,o3,6.8,µg/m³,28.732528,77.11992,"[{""name"":""Central Pollution Control Board"",""url"":""https://app.cpcbccr.com/ccr/#/caaqm-dashboard-all/caaqm-landing""}]"
