,alipur,utc_time
0,56.0,2019-07-06 00:00:00
1,69.0,2019-07-06 01:00:00
2,69.0,2019-07-06 02:00:00
3,64.0,2019-07-06 03:00:00
4,56.0,2019-07-06 04:00:00
5,53.0,2019-07-06 05:00:00
6,53.0,2019-07-06 06:00:00
7,39.0,2019-07-06 07:00:00
8,38.0,2019-07-06 08:00:00
9,39.0,2019-07-06 09:00:00
10,34.0,2019-07-06 10:00:00
11,25.0,2019-07-06 11:00:00
12,25.0,2019-07-06 12:00:00
13,33.0,2019-07-06 13:00:00
14,33.0,2019-07-06 14:00:00
15,33.0,2019-07-06 15:00:00
16,33.0,2019-07-06 16:00:00
17,28.0,2019-07-06 17:00:00
18,33.0,2019-07-06 18:00:00
19,30.0,2019-07-06 19:00:00
20,36.0,2019-07-06 20:00:00
21,39.0,2019-07-06 21:00:00
22,39.0,2019-07-06 22:00:00
23,50.0,2019-07-06 23:00:00
24,59.0,2019-07-07 00:00:00
25,62.0,2019-07-07 01:00:00
26,47.0,2019-07-07 02:00:00
27,39.0,2019-07-07 03:00:00
28,42.0,2019-07-07 04:00:00
29,52.0,2019-07-07 05:00:00
30,52.0,2019-07-07 06:00:00
31,46.0,2019-07-07 07:00:00
32,48.0,2019-07-07 08:00:00
33,40.0,2019-07-07 09:00:00
34,40.0,2019-07-07 10:00:00
35,34.0,2019-07-07 11:00:00
36,30.0,2019-07-07 12:00:00
37,41.0,2019-07-07 13:00:00
38,42.0,2019-07-07 14:00:00
39,42.0,2019-07-07 15:00:00
40,47.0,2019-07-07 16:00:00
41,72.0,2019-07-07 17:00:00
42,90.0,2019-07-07 18:00:00
43,64.0,2019-07-07 19:00:00
44,61.0,2019-07-07 20:00:00
45,56.0,2019-07-07 21:00:00
46,44.0,2019-07-07 22:00:00
47,41.0,2019-07-07 23:00:00
48,40.0,2019-07-08 00:00:00
49,41.0,2019-07-08 01:00:00
50,50.0,2019-07-08 02:00:00
51,48.0,2019-07-08 03:00:00
