,rohtak,utc_time
1867,,2019-07-06 00:00:00
1868,,2019-07-06 01:00:00
1869,,2019-07-06 02:00:00
1870,,2019-07-06 03:00:00
1871,,2019-07-06 04:00:00
1872,,2019-07-06 05:00:00
1873,,2019-07-06 06:00:00
1874,,2019-07-06 07:00:00
1875,,2019-07-06 08:00:00
1876,,2019-07-06 09:00:00
1877,,2019-07-06 10:00:00
1878,,2019-07-06 11:00:00
1879,,2019-07-06 12:00:00
1880,,2019-07-06 13:00:00
1881,,2019-07-06 14:00:00
1882,,2019-07-06 15:00:00
1883,,2019-07-06 16:00:00
1884,,2019-07-06 17:00:00
1885,,2019-07-06 18:00:00
1886,,2019-07-06 19:00:00
1887,,2019-07-06 20:00:00
1888,,2019-07-06 21:00:00
1889,,2019-07-06 22:00:00
1890,,2019-07-06 23:00:00
1891,,2019-07-07 00:00:00
1892,,2019-07-07 01:00:00
1893,,2019-07-07 02:00:00
1894,,2019-07-07 03:00:00
1895,,2019-07-07 04:00:00
1896,,2019-07-07 05:00:00
1897,,2019-07-07 06:00:00
1898,,2019-07-07 07:00:00
1899,,2019-07-07 08:00:00
1900,,2019-07-07 09:00:00
1901,,2019-07-07 10:00:00
1902,,2019-07-07 11:00:00
1903,,2019-07-07 12:00:00
1904,,2019-07-07 13:00:00
1905,,2019-07-07 14:00:00
1906,,2019-07-07 15:00:00
1907,,2019-07-07 16:00:00
1908,,2019-07-07 17:00:00
1909,,2019-07-07 18:00:00
1910,,2019-07-07 19:00:00
1911,,2019-07-07 20:00:00
1912,,2019-07-07 21:00:00
1913,,2019-07-07 22:00:00
1914,,2019-07-07 23:00:00
1915,,2019-07-08 00:00:00
1916,,2019-07-08 01:00:00
1917,,2019-07-08 02:00:00
1918,,2019-07-08 03:00:00
1919,,2019-07-08 04:00:00
1920,,2019-07-08 05:00:00
1921,,2019-07-08 06:00:00
1922,,2019-07-08 07:00:00
1923,,2019-07-08 08:00:00
1924,,2019-07-08 09:00:00
1925,,2019-07-08 10:00:00
1926,,2019-07-08 11:00:00
1927,,2019-07-08 12:00:00
1928,,2019-07-08 13:00:00
1929,,2019-07-08 14:00:00
1930,,2019-07-08 15:00:00
1931,,2019-07-08 16:00:00
1932,,2019-07-08 17:00:00
1933,,2019-07-08 18:00:00
1934,,2019-07-08 19:00:00
1935,,2019-07-08 20:00:00
1936,,2019-07-08 21:00:00
1937,,2019-07-08 22:00:00
1938,,2019-07-08 23:00:00
1939,,2019-07-09 00:00:00
1940,,2019-07-09 01:00:00
1941,,2019-07-09 02:00:00
1942,,2019-07-09 03:00:00
1943,,2019-07-09 04:00:00
1944,,2019-07-09 05:00:00
1945,,2019-07-09 06:00:00
1946,,2019-07-09 07:00:00
1947,,2019-07-09 08:00:00
1948,,2019-07-09 09:00:00
1949,,2019-07-09 10:00:00
1950,,2019-07-09 11:00:00
1951,,2019-07-09 12:00:00
1952,,2019-07-09 13:00:00
1953,,2019-07-09 14:00:00
1954,,2019-07-09 15:00:00
1955,,2019-07-09 16:00:00
1956,,2019-07-09 17:00:00
1957,,2019-07-09 18:00:00
1958,,2019-07-09 19:00:00
1959,,2019-07-09 20:00:00
1960,,2019-07-09 21:00:00
1961,,2019-07-09 22:00:00
1962,,2019-07-09 23:00:00
1963,,2019-07-10 00:00:00
1964,,2019-07-10 01:00:00
1965,,2019-07-10 02:00:00
1966,,2019-07-10 03:00:00
1967,,2019-07-10 04:00:00
1968,,2019-07-10 05:00:00
1969,,2019-07-10 06:00:00
1970,,2019-07-10 07:00:00
1971,,2019-07-10 08:00:00
1972,,2019-07-10 09:00:00
1973,,2019-07-10 10:00:00
1974,,2019-07-10 11:00:00
1975,,2019-07-10 12:00:00
1976,,2019-07-10 13:00:00
1977,,2019-07-10 14:00:00
1978,,2019-07-10 15:00:00
1979,,2019-07-10 16:00:00
1980,,2019-07-10 17:00:00
1981,,2019-07-10 18:00:00
1982,,2019-07-10 19:00:00
1983,,2019-07-10 20:00:00
1984,,2019-07-10 21:00:00
1985,,2019-07-10 22:00:00
1986,,2019-07-10 23:00:00
1987,,2019-07-11 00:00:00
1988,,2019-07-11 01:00:00
1989,,2019-07-11 02:00:00
1990,,2019-07-11 03:00:00
1991,,2019-07-11 04:00:00
1992,,2019-07-11 05:00:00
1993,,2019-07-11 06:00:00
1994,,2019-07-11 07:00:00
1995,,2019-07-11 08:00:00
1996,,2019-07-11 09:00:00
1997,,2019-07-11 10:00:00
0,,2019-07-11 11:00:00
1,,2019-07-11 12:00:00
2,,2019-07-11 13:00:00
3,,2019-07-11 14:00:00
4,,2019-07-11 15:00:00
5,,2019-07-11 16:00:00
6,,2019-07-11 17:00:00
7,,2019-07-11 18:00:00
8,66.35,2019-07-11 19:00:00
9,59.76,2019-07-11 20:00:00
10,59.76,2019-07-11 21:00:00
11,,2019-07-11 22:00:00
12,,2019-07-11 23:00:00
13,73.1,2019-07-12 00:00:00
14,46.78,2019-07-12 01:00:00
15,52.49,2019-07-12 02:00:00
16,77.04,2019-07-12 03:00:00
17,,2019-07-12 04:00:00
18,,2019-07-12 05:00:00
19,,2019-07-12 06:00:00
20,,2019-07-12 07:00:00
21,,2019-07-12 08:00:00
22,,2019-07-12 09:00:00
23,,2019-07-12 10:00:00
24,,2019-07-12 11:00:00
25,,2019-07-12 12:00:00
26,,2019-07-12 13:00:00
27,,2019-07-12 14:00:00
28,,2019-07-12 15:00:00
29,,2019-07-12 16:00:00
30,,2019-07-12 17:00:00
31,,2019-07-12 18:00:00
32,,2019-07-12 19:00:00
33,,2019-07-12 20:00:00
34,,2019-07-12 21:00:00
35,70.73,2019-07-12 22:00:00
36,51.92,2019-07-12 23:00:00
37,42.78,2019-07-13 00:00:00
38,52.37,2019-07-13 01:00:00
39,44.0,2019-07-13 02:00:00
40,61.09,2019-07-13 03:00:00
41,54.1,2019-07-13 04:00:00
42,78.02,2019-07-13 05:00:00
43,,2019-07-13 06:00:00
44,,2019-07-13 07:00:00
45,,2019-07-13 08:00:00
46,,2019-07-13 09:00:00
47,,2019-07-13 10:00:00
48,,2019-07-13 11:00:00
49,,2019-07-13 12:00:00
50,,2019-07-13 13:00:00
51,,2019-07-13 14:00:00
52,,2019-07-13 15:00:00
53,70.62,2019-07-13 16:00:00
54,74.16,2019-07-13 17:00:00
55,72.79,2019-07-13 18:00:00
56,79.08,2019-07-13 19:00:00
57,76.53,2019-07-13 20:00:00
58,76.53,2019-07-13 21:00:00
59,80.17,2019-07-13 22:00:00
60,,2019-07-13 23:00:00
61,56.61,2019-07-14 00:00:00
62,51.69,2019-07-14 01:00:00
63,51.36,2019-07-14 02:00:00
64,52.01,2019-07-14 03:00:00
65,,2019-07-14 04:00:00
66,,2019-07-14 05:00:00
67,,2019-07-14 06:00:00
68,,2019-07-14 07:00:00
69,,2019-07-14 08:00:00
70,,2019-07-14 09:00:00
71,,2019-07-14 10:00:00
72,,2019-07-14 11:00:00
73,,2019-07-14 12:00:00
74,,2019-07-14 13:00:00
75,,2019-07-14 14:00:00
76,,2019-07-14 15:00:00
77,,2019-07-14 16:00:00
78,,2019-07-14 17:00:00
79,63.47,2019-07-14 18:00:00
80,36.52,2019-07-14 19:00:00
81,37.85,2019-07-14 20:00:00
82,37.85,2019-07-14 21:00:00
83,51.46,2019-07-14 22:00:00
