,rohini,utc_time
0,19.0,2019-07-17 00:00:00
1,27.0,2019-07-17 01:00:00
2,13.0,2019-07-17 02:00:00
3,9.0,2019-07-17 03:00:00
4,12.0,2019-07-17 04:00:00
5,13.0,2019-07-17 05:00:00
6,23.0,2019-07-17 06:00:00
7,24.0,2019-07-17 07:00:00
8,25.0,2019-07-17 08:00:00
9,27.0,2019-07-17 09:00:00
10,20.0,2019-07-17 10:00:00
11,22.0,2019-07-17 11:00:00
12,23.0,2019-07-17 12:00:00
13,19.0,2019-07-17 13:00:00
14,19.0,2019-07-17 14:00:00
15,66.0,2019-07-17 15:00:00
16,45.0,2019-07-17 16:00:00
17,58.0,2019-07-17 17:00:00
18,47.0,2019-07-17 18:00:00
19,51.0,2019-07-17 19:00:00
20,79.0,2019-07-17 20:00:00
21,74.0,2019-07-17 21:00:00
22,18.0,2019-07-17 22:00:00
23,13.0,2019-07-17 23:00:00
24,13.0,2019-07-18 00:00:00
25,16.0,2019-07-18 01:00:00
26,8.0,2019-07-18 02:00:00
27,17.0,2019-07-18 03:00:00
28,24.0,2019-07-18 04:00:00
29,24.0,2019-07-18 05:00:00
30,7.0,2019-07-18 06:00:00
31,11.0,2019-07-18 07:00:00
32,19.0,2019-07-18 08:00:00
33,13.0,2019-07-18 09:00:00
34,27.0,2019-07-18 10:00:00
35,29.0,2019-07-18 11:00:00
36,22.0,2019-07-18 12:00:00
37,30.0,2019-07-18 13:00:00
38,30.0,2019-07-18 14:00:00
39,39.0,2019-07-18 15:00:00
40,58.0,2019-07-18 16:00:00
41,56.0,2019-07-18 17:00:00
42,56.0,2019-07-18 18:00:00
43,50.0,2019-07-18 19:00:00
44,55.0,2019-07-18 20:00:00
45,41.0,2019-07-18 21:00:00
46,42.0,2019-07-18 22:00:00
47,33.0,2019-07-18 23:00:00
48,38.0,2019-07-19 00:00:00
49,46.0,2019-07-19 01:00:00
50,62.0,2019-07-19 02:00:00
51,106.0,2019-07-19 03:00:00
52,113.0,2019-07-19 04:00:00
53,63.0,2019-07-19 05:00:00
54,53.0,2019-07-19 06:00:00
55,56.0,2019-07-19 07:00:00
56,64.0,2019-07-19 08:00:00
57,59.0,2019-07-19 09:00:00
58,64.0,2019-07-19 10:00:00
59,70.0,2019-07-19 11:00:00
60,69.0,2019-07-19 12:00:00
61,63.0,2019-07-19 13:00:00
62,72.0,2019-07-19 14:00:00
63,70.0,2019-07-19 15:00:00
64,74.0,2019-07-19 16:00:00
65,61.0,2019-07-19 17:00:00
66,50.0,2019-07-19 18:00:00
67,62.0,2019-07-19 19:00:00
68,75.0,2019-07-19 20:00:00
69,63.0,2019-07-19 21:00:00
70,55.0,2019-07-19 22:00:00
71,42.0,2019-07-19 23:00:00
72,40.0,2019-07-20 00:00:00
