,rohini,local_time
0,50.0,2019-07-19 00:00:00
1,55.0,2019-07-19 01:00:00
2,41.0,2019-07-19 02:00:00
3,42.0,2019-07-19 03:00:00
4,33.0,2019-07-19 04:00:00
5,38.0,2019-07-19 05:00:00
6,46.0,2019-07-19 06:00:00
7,62.0,2019-07-19 07:00:00
8,106.0,2019-07-19 08:00:00
9,113.0,2019-07-19 09:00:00
10,63.0,2019-07-19 10:00:00
11,53.0,2019-07-19 11:00:00
12,56.0,2019-07-19 12:00:00
13,64.0,2019-07-19 13:00:00
14,59.0,2019-07-19 14:00:00
15,64.0,2019-07-19 15:00:00
16,70.0,2019-07-19 16:00:00
17,69.0,2019-07-19 17:00:00
18,63.0,2019-07-19 18:00:00
19,72.0,2019-07-19 19:00:00
20,70.0,2019-07-19 20:00:00
21,74.0,2019-07-19 21:00:00
22,61.0,2019-07-19 22:00:00
23,50.0,2019-07-19 23:00:00
24,62.0,2019-07-20 00:00:00
25,75.0,2019-07-20 01:00:00
26,63.0,2019-07-20 02:00:00
27,55.0,2019-07-20 03:00:00
28,42.0,2019-07-20 04:00:00
29,40.0,2019-07-20 05:00:00
30,31.0,2019-07-20 06:00:00
31,44.0,2019-07-20 07:00:00
32,58.0,2019-07-20 08:00:00
33,38.0,2019-07-20 09:00:00
34,44.0,2019-07-20 10:00:00
35,44.0,2019-07-20 11:00:00
36,39.0,2019-07-20 12:00:00
37,20.0,2019-07-20 13:00:00
38,20.0,2019-07-20 14:00:00
39,34.0,2019-07-20 15:00:00
40,46.0,2019-07-20 16:00:00
41,42.0,2019-07-20 17:00:00
42,48.0,2019-07-20 18:00:00
43,29.0,2019-07-20 19:00:00
44,53.0,2019-07-20 20:00:00
45,63.0,2019-07-20 21:00:00
46,59.0,2019-07-20 22:00:00
47,58.0,2019-07-20 23:00:00
1702,,2019-07-21 00:00:00
1703,,2019-07-21 01:00:00
1704,,2019-07-21 02:00:00
1705,,2019-07-21 03:00:00
1706,,2019-07-21 04:00:00
48,52.0,2019-07-21 05:00:00
49,36.0,2019-07-21 06:00:00
50,40.0,2019-07-21 07:00:00
51,51.0,2019-07-21 08:00:00
52,45.0,2019-07-21 09:00:00
