,co,local_time
0,800.0,2019-08-02 00:00:00
1,700.0,2019-08-02 01:00:00
2,600.0,2019-08-02 02:00:00
3,600.0,2019-08-02 03:00:00
4,600.0,2019-08-02 04:00:00
5,600.0,2019-08-02 05:00:00
6,700.0,2019-08-02 06:00:00
7,800.0,2019-08-02 07:00:00
8,1000.0,2019-08-02 08:00:00
9,900.0,2019-08-02 09:00:00
10,900.0,2019-08-02 10:00:00
11,800.0,2019-08-02 11:00:00
12,1000.0,2019-08-02 12:00:00
13,700.0,2019-08-02 13:00:00
14,700.0,2019-08-02 14:00:00
15,800.0,2019-08-02 15:00:00
16,600.0,2019-08-02 16:00:00
17,900.0,2019-08-02 17:00:00
18,900.0,2019-08-02 18:00:00
19,1400.0,2019-08-02 19:00:00
20,1100.0,2019-08-02 20:00:00
21,1300.0,2019-08-02 21:00:00
22,1200.0,2019-08-02 22:00:00
23,900.0,2019-08-02 23:00:00
24,200.0,2019-08-03 00:00:00
25,300.0,2019-08-03 01:00:00
26,700.0,2019-08-03 02:00:00
27,800.0,2019-08-03 03:00:00
28,700.0,2019-08-03 04:00:00
29,800.0,2019-08-03 05:00:00
30,1000.0,2019-08-03 06:00:00
31,1000.0,2019-08-03 07:00:00
32,1000.0,2019-08-03 08:00:00
33,900.0,2019-08-03 09:00:00
1872,,2019-08-03 10:00:00
1873,,2019-08-03 11:00:00
1874,,2019-08-03 12:00:00
1875,,2019-08-03 13:00:00
1876,,2019-08-03 14:00:00
34,600.0,2019-08-03 15:00:00
35,700.0,2019-08-03 16:00:00
36,500.0,2019-08-03 17:00:00
37,900.0,2019-08-03 18:00:00
38,900.0,2019-08-03 19:00:00
39,1300.0,2019-08-03 20:00:00
40,1600.0,2019-08-03 21:00:00
41,1600.0,2019-08-03 22:00:00
42,1100.0,2019-08-03 23:00:00
43,1000.0,2019-08-04 00:00:00
44,1000.0,2019-08-04 01:00:00
1877,,2019-08-04 02:00:00
45,700.0,2019-08-04 03:00:00
46,700.0,2019-08-04 04:00:00
47,700.0,2019-08-04 05:00:00
48,700.0,2019-08-04 06:00:00
49,500.0,2019-08-04 07:00:00
50,800.0,2019-08-04 08:00:00
51,700.0,2019-08-04 09:00:00
52,700.0,2019-08-04 10:00:00
53,800.0,2019-08-04 11:00:00
54,900.0,2019-08-04 12:00:00
55,1000.0,2019-08-04 13:00:00
56,1000.0,2019-08-04 14:00:00
57,1000.0,2019-08-04 15:00:00
58,800.0,2019-08-04 16:00:00
59,1100.0,2019-08-04 17:00:00
60,1000.0,2019-08-04 18:00:00
61,1100.0,2019-08-04 19:00:00
62,1800.0,2019-08-04 20:00:00
63,1700.0,2019-08-04 21:00:00
64,2100.0,2019-08-04 22:00:00
65,2300.0,2019-08-04 23:00:00
66,3000.0,2019-08-05 00:00:00
67,2600.0,2019-08-05 01:00:00
68,1100.0,2019-08-05 02:00:00
69,1400.0,2019-08-05 03:00:00
70,1000.0,2019-08-05 04:00:00
71,1100.0,2019-08-05 05:00:00
72,1200.0,2019-08-05 06:00:00
73,1200.0,2019-08-05 07:00:00
74,1100.0,2019-08-05 08:00:00
75,1000.0,2019-08-05 09:00:00
76,900.0,2019-08-05 10:00:00
77,1300.0,2019-08-05 11:00:00
78,1100.0,2019-08-05 12:00:00
79,1100.0,2019-08-05 13:00:00
80,900.0,2019-08-05 14:00:00
81,900.0,2019-08-05 15:00:00
82,1800.0,2019-08-05 16:00:00
83,2000.0,2019-08-05 17:00:00
84,1600.0,2019-08-05 18:00:00
85,1700.0,2019-08-05 19:00:00
86,2200.0,2019-08-05 20:00:00
87,2400.0,2019-08-05 21:00:00
88,2300.0,2019-08-05 22:00:00
89,1500.0,2019-08-05 23:00:00
90,900.0,2019-08-06 00:00:00
91,800.0,2019-08-06 01:00:00
92,800.0,2019-08-06 02:00:00
93,1200.0,2019-08-06 03:00:00
94,900.0,2019-08-06 04:00:00
95,900.0,2019-08-06 05:00:00
96,1000.0,2019-08-06 06:00:00
97,600.0,2019-08-06 07:00:00
98,900.0,2019-08-06 08:00:00
99,1700.0,2019-08-06 09:00:00
100,600.0,2019-08-06 10:00:00
101,700.0,2019-08-06 11:00:00
102,1200.0,2019-08-06 12:00:00
103,1300.0,2019-08-06 13:00:00
104,1500.0,2019-08-06 14:00:00
105,1900.0,2019-08-06 15:00:00
106,1100.0,2019-08-06 16:00:00
107,900.0,2019-08-06 17:00:00
108,1500.0,2019-08-06 18:00:00
109,1600.0,2019-08-06 19:00:00
110,1300.0,2019-08-06 20:00:00
111,1700.0,2019-08-06 21:00:00
112,1600.0,2019-08-06 22:00:00
113,1800.0,2019-08-06 23:00:00
114,1000.0,2019-08-07 00:00:00
115,900.0,2019-08-07 01:00:00
116,900.0,2019-08-07 02:00:00
117,1000.0,2019-08-07 03:00:00
118,900.0,2019-08-07 04:00:00
119,800.0,2019-08-07 05:00:00
120,1000.0,2019-08-07 06:00:00
121,1200.0,2019-08-07 07:00:00
122,1700.0,2019-08-07 08:00:00
123,1200.0,2019-08-07 09:00:00
124,1000.0,2019-08-07 10:00:00
125,1100.0,2019-08-07 11:00:00
126,1100.0,2019-08-07 12:00:00
127,800.0,2019-08-07 13:00:00
128,700.0,2019-08-07 14:00:00
129,700.0,2019-08-07 15:00:00
130,600.0,2019-08-07 16:00:00
131,600.0,2019-08-07 17:00:00
132,600.0,2019-08-07 18:00:00
133,900.0,2019-08-07 19:00:00
134,1200.0,2019-08-07 20:00:00
135,1300.0,2019-08-07 21:00:00
136,1200.0,2019-08-07 22:00:00
137,1000.0,2019-08-07 23:00:00
138,800.0,2019-08-08 00:00:00
139,700.0,2019-08-08 01:00:00
1878,,2019-08-08 02:00:00
140,600.0,2019-08-08 03:00:00
141,700.0,2019-08-08 04:00:00
142,700.0,2019-08-08 05:00:00
143,1200.0,2019-08-08 06:00:00
144,1300.0,2019-08-08 07:00:00
145,1300.0,2019-08-08 08:00:00
146,1100.0,2019-08-08 09:00:00
147,1100.0,2019-08-08 10:00:00
148,1000.0,2019-08-08 11:00:00
149,900.0,2019-08-08 12:00:00
150,700.0,2019-08-08 13:00:00
151,700.0,2019-08-08 14:00:00
152,900.0,2019-08-08 15:00:00
153,600.0,2019-08-08 16:00:00
154,600.0,2019-08-08 17:00:00
155,800.0,2019-08-08 18:00:00
156,1300.0,2019-08-08 19:00:00
157,1700.0,2019-08-08 20:00:00
