,no2,local_time
0,32.2,2019-08-02 00:00:00
1,30.2,2019-08-02 01:00:00
2,14.1,2019-08-02 02:00:00
3,14.1,2019-08-02 03:00:00
4,21.9,2019-08-02 04:00:00
5,18.9,2019-08-02 05:00:00
6,20.7,2019-08-02 06:00:00
7,22.3,2019-08-02 07:00:00
8,26.1,2019-08-02 08:00:00
9,14.9,2019-08-02 09:00:00
10,14.6,2019-08-02 10:00:00
11,11.9,2019-08-02 11:00:00
12,13.7,2019-08-02 12:00:00
13,7.2,2019-08-02 13:00:00
14,9.9,2019-08-02 14:00:00
15,11.3,2019-08-02 15:00:00
16,5.8,2019-08-02 16:00:00
17,21.4,2019-08-02 17:00:00
18,16.0,2019-08-02 18:00:00
19,21.5,2019-08-02 19:00:00
20,17.3,2019-08-02 20:00:00
21,18.9,2019-08-02 21:00:00
22,18.6,2019-08-02 22:00:00
23,16.7,2019-08-02 23:00:00
24,17.2,2019-08-03 00:00:00
25,20.8,2019-08-03 01:00:00
26,19.2,2019-08-03 02:00:00
27,15.6,2019-08-03 03:00:00
28,16.5,2019-08-03 04:00:00
29,17.8,2019-08-03 05:00:00
30,16.5,2019-08-03 06:00:00
31,15.9,2019-08-03 07:00:00
32,13.0,2019-08-03 08:00:00
33,15.9,2019-08-03 09:00:00
34,5.5,2019-08-03 10:00:00
35,20.3,2019-08-03 11:00:00
36,13.0,2019-08-03 12:00:00
37,9.0,2019-08-03 13:00:00
38,5.3,2019-08-03 14:00:00
39,7.0,2019-08-03 15:00:00
40,8.3,2019-08-03 16:00:00
41,20.4,2019-08-03 17:00:00
42,17.3,2019-08-03 18:00:00
43,17.8,2019-08-03 19:00:00
44,27.4,2019-08-03 20:00:00
45,27.2,2019-08-03 21:00:00
46,27.8,2019-08-03 22:00:00
47,21.5,2019-08-03 23:00:00
48,24.8,2019-08-04 00:00:00
49,23.4,2019-08-04 01:00:00
50,16.6,2019-08-04 02:00:00
51,15.4,2019-08-04 03:00:00
52,12.9,2019-08-04 04:00:00
