,o3,local_time
0,3.3,2019-08-02 00:00:00
1,6.5,2019-08-02 01:00:00
2,5.2,2019-08-02 02:00:00
3,7.2,2019-08-02 03:00:00
4,3.9,2019-08-02 04:00:00
5,5.4,2019-08-02 05:00:00
6,4.1,2019-08-02 06:00:00
7,4.2,2019-08-02 07:00:00
8,5.1,2019-08-02 08:00:00
9,11.3,2019-08-02 09:00:00
10,19.4,2019-08-02 10:00:00
11,24.5,2019-08-02 11:00:00
12,44.8,2019-08-02 12:00:00
13,29.4,2019-08-02 13:00:00
14,22.6,2019-08-02 14:00:00
15,13.9,2019-08-02 15:00:00
16,14.2,2019-08-02 16:00:00
17,9.4,2019-08-02 17:00:00
18,14.4,2019-08-02 18:00:00
19,6.5,2019-08-02 19:00:00
20,10.3,2019-08-02 20:00:00
21,60.9,2019-08-02 21:00:00
22,11.2,2019-08-02 22:00:00
23,14.1,2019-08-02 23:00:00
24,3.8,2019-08-03 00:00:00
25,12.2,2019-08-03 01:00:00
26,21.8,2019-08-03 02:00:00
27,41.6,2019-08-03 03:00:00
28,8.1,2019-08-03 04:00:00
29,15.1,2019-08-03 05:00:00
30,6.7,2019-08-03 06:00:00
31,5.8,2019-08-03 07:00:00
32,5.7,2019-08-03 08:00:00
33,10.0,2019-08-03 09:00:00
34,8.2,2019-08-03 10:00:00
35,5.5,2019-08-03 11:00:00
36,8.6,2019-08-03 12:00:00
37,14.6,2019-08-03 13:00:00
38,11.2,2019-08-03 14:00:00
39,9.9,2019-08-03 15:00:00
40,23.7,2019-08-03 16:00:00
41,32.5,2019-08-03 17:00:00
42,14.5,2019-08-03 18:00:00
43,8.2,2019-08-03 19:00:00
44,4.2,2019-08-03 20:00:00
45,3.2,2019-08-03 21:00:00
46,11.1,2019-08-03 22:00:00
47,3.9,2019-08-03 23:00:00
48,3.5,2019-08-04 00:00:00
49,10.8,2019-08-04 01:00:00
50,10.5,2019-08-04 02:00:00
51,5.7,2019-08-04 03:00:00
52,9.6,2019-08-04 04:00:00
53,11.1,2019-08-04 05:00:00
54,7.6,2019-08-04 06:00:00
55,6.7,2019-08-04 07:00:00
