,pm25,local_time
0,20.0,2019-08-02 00:00:00
1,18.0,2019-08-02 01:00:00
2,31.0,2019-08-02 02:00:00
3,23.0,2019-08-02 03:00:00
4,29.0,2019-08-02 04:00:00
5,27.0,2019-08-02 05:00:00
6,29.0,2019-08-02 06:00:00
7,30.0,2019-08-02 07:00:00
8,35.0,2019-08-02 08:00:00
9,42.0,2019-08-02 09:00:00
10,38.0,2019-08-02 10:00:00
11,25.0,2019-08-02 11:00:00
12,50.0,2019-08-02 12:00:00
13,53.0,2019-08-02 13:00:00
14,12.0,2019-08-02 14:00:00
15,17.0,2019-08-02 15:00:00
16,17.0,2019-08-02 16:00:00
17,18.0,2019-08-02 17:00:00
18,18.0,2019-08-02 18:00:00
19,23.0,2019-08-02 19:00:00
20,25.0,2019-08-02 20:00:00
21,45.0,2019-08-02 21:00:00
22,42.0,2019-08-02 22:00:00
23,44.0,2019-08-02 23:00:00
24,45.0,2019-08-03 00:00:00
25,34.0,2019-08-03 01:00:00
26,68.0,2019-08-03 02:00:00
27,58.0,2019-08-03 03:00:00
28,50.0,2019-08-03 04:00:00
29,97.0,2019-08-03 05:00:00
30,58.0,2019-08-03 06:00:00
31,84.0,2019-08-03 07:00:00
32,66.0,2019-08-03 08:00:00
33,68.0,2019-08-03 09:00:00
34,56.0,2019-08-03 10:00:00
35,19.0,2019-08-03 11:00:00
36,31.0,2019-08-03 12:00:00
37,46.0,2019-08-03 13:00:00
38,28.0,2019-08-03 14:00:00
39,36.0,2019-08-03 15:00:00
40,19.0,2019-08-03 16:00:00
41,16.0,2019-08-03 17:00:00
42,40.0,2019-08-03 18:00:00
43,40.0,2019-08-03 19:00:00
44,34.0,2019-08-03 20:00:00
45,48.0,2019-08-03 21:00:00
46,48.0,2019-08-03 22:00:00
47,59.0,2019-08-03 23:00:00
48,47.0,2019-08-04 00:00:00
49,107.0,2019-08-04 01:00:00
50,81.0,2019-08-04 02:00:00
51,61.0,2019-08-04 03:00:00
52,48.0,2019-08-04 04:00:00
53,42.0,2019-08-04 05:00:00
54,45.0,2019-08-04 06:00:00
55,55.0,2019-08-04 07:00:00
56,75.0,2019-08-04 08:00:00
57,48.0,2019-08-04 09:00:00
58,52.0,2019-08-04 10:00:00
59,57.0,2019-08-04 11:00:00
60,48.0,2019-08-04 12:00:00
61,47.0,2019-08-04 13:00:00
62,56.0,2019-08-04 14:00:00
63,47.0,2019-08-04 15:00:00
64,56.0,2019-08-04 16:00:00
65,40.0,2019-08-04 17:00:00
66,41.0,2019-08-04 18:00:00
67,50.0,2019-08-04 19:00:00
68,48.0,2019-08-04 20:00:00
69,119.0,2019-08-04 21:00:00
70,75.0,2019-08-04 22:00:00
71,92.0,2019-08-04 23:00:00
72,105.0,2019-08-05 00:00:00
73,72.0,2019-08-05 01:00:00
74,51.0,2019-08-05 02:00:00
75,41.0,2019-08-05 03:00:00
76,51.0,2019-08-05 04:00:00
77,64.0,2019-08-05 05:00:00
78,64.0,2019-08-05 06:00:00
79,56.0,2019-08-05 07:00:00
80,80.0,2019-08-05 08:00:00
81,77.0,2019-08-05 09:00:00
82,72.0,2019-08-05 10:00:00
83,68.0,2019-08-05 11:00:00
84,70.0,2019-08-05 12:00:00
85,67.0,2019-08-05 13:00:00
86,66.0,2019-08-05 14:00:00
87,50.0,2019-08-05 15:00:00
88,40.0,2019-08-05 16:00:00
89,56.0,2019-08-05 17:00:00
90,62.0,2019-08-05 18:00:00
91,56.0,2019-08-05 19:00:00
92,56.0,2019-08-05 20:00:00
93,55.0,2019-08-05 21:00:00
94,59.0,2019-08-05 22:00:00
95,53.0,2019-08-05 23:00:00
96,39.0,2019-08-06 00:00:00
97,42.0,2019-08-06 01:00:00
98,42.0,2019-08-06 02:00:00
99,39.0,2019-08-06 03:00:00
100,48.0,2019-08-06 04:00:00
101,53.0,2019-08-06 05:00:00
102,57.0,2019-08-06 06:00:00
103,69.0,2019-08-06 07:00:00
104,27.0,2019-08-06 08:00:00
105,25.0,2019-08-06 09:00:00
106,25.0,2019-08-06 10:00:00
107,17.0,2019-08-06 11:00:00
108,11.0,2019-08-06 12:00:00
109,22.0,2019-08-06 13:00:00
110,25.0,2019-08-06 14:00:00
111,29.0,2019-08-06 15:00:00
112,36.0,2019-08-06 16:00:00
113,18.0,2019-08-06 17:00:00
114,19.0,2019-08-06 18:00:00
115,39.0,2019-08-06 19:00:00
116,45.0,2019-08-06 20:00:00
117,34.0,2019-08-06 21:00:00
118,36.0,2019-08-06 22:00:00
119,30.0,2019-08-06 23:00:00
120,52.0,2019-08-07 00:00:00
121,30.0,2019-08-07 01:00:00
122,42.0,2019-08-07 02:00:00
123,33.0,2019-08-07 03:00:00
124,38.0,2019-08-07 04:00:00
125,41.0,2019-08-07 05:00:00
126,30.0,2019-08-07 06:00:00
127,44.0,2019-08-07 07:00:00
128,67.0,2019-08-07 08:00:00
129,70.0,2019-08-07 09:00:00
130,41.0,2019-08-07 10:00:00
131,45.0,2019-08-07 11:00:00
132,51.0,2019-08-07 12:00:00
133,31.0,2019-08-07 13:00:00
134,14.0,2019-08-07 14:00:00
135,9.0,2019-08-07 15:00:00
136,9.0,2019-08-07 16:00:00
137,12.0,2019-08-07 17:00:00
138,7.0,2019-08-07 18:00:00
139,13.0,2019-08-07 19:00:00
140,42.0,2019-08-07 20:00:00
141,28.0,2019-08-07 21:00:00
142,30.0,2019-08-07 22:00:00
143,44.0,2019-08-07 23:00:00
144,31.0,2019-08-08 00:00:00
145,36.0,2019-08-08 01:00:00
146,42.0,2019-08-08 02:00:00
147,38.0,2019-08-08 03:00:00
148,39.0,2019-08-08 04:00:00
149,62.0,2019-08-08 05:00:00
150,51.0,2019-08-08 06:00:00
151,66.0,2019-08-08 07:00:00
152,103.0,2019-08-08 08:00:00
153,72.0,2019-08-08 09:00:00
154,24.0,2019-08-08 10:00:00
155,33.0,2019-08-08 11:00:00
156,30.0,2019-08-08 12:00:00
157,14.0,2019-08-08 13:00:00
158,18.0,2019-08-08 14:00:00
159,13.0,2019-08-08 15:00:00
160,14.0,2019-08-08 16:00:00
161,18.0,2019-08-08 17:00:00
162,20.0,2019-08-08 18:00:00
163,17.0,2019-08-08 19:00:00
164,44.0,2019-08-08 20:00:00
165,89.0,2019-08-08 21:00:00
166,63.0,2019-08-08 22:00:00
167,72.0,2019-08-08 23:00:00
168,52.0,2019-08-09 00:00:00
169,19.0,2019-08-09 01:00:00
170,3.0,2019-08-09 02:00:00
171,6.0,2019-08-09 03:00:00
172,7.0,2019-08-09 04:00:00
173,6.0,2019-08-09 05:00:00
174,6.0,2019-08-09 06:00:00
175,11.0,2019-08-09 07:00:00
176,17.0,2019-08-09 08:00:00
177,3.0,2019-08-09 09:00:00
178,5.0,2019-08-09 10:00:00
179,6.0,2019-08-09 11:00:00
180,12.0,2019-08-09 12:00:00
181,7.0,2019-08-09 13:00:00
182,8.0,2019-08-09 14:00:00
183,6.0,2019-08-09 15:00:00
184,9.0,2019-08-09 16:00:00
185,7.0,2019-08-09 17:00:00
186,13.0,2019-08-09 18:00:00
187,12.0,2019-08-09 19:00:00
188,22.0,2019-08-09 20:00:00
189,18.0,2019-08-09 21:00:00
190,13.0,2019-08-09 22:00:00
191,11.0,2019-08-09 23:00:00
192,19.0,2019-08-10 00:00:00
193,11.0,2019-08-10 01:00:00
194,27.0,2019-08-10 02:00:00
195,25.0,2019-08-10 03:00:00
196,22.0,2019-08-10 04:00:00
197,23.0,2019-08-10 05:00:00
198,27.0,2019-08-10 06:00:00
199,19.0,2019-08-10 07:00:00
200,18.0,2019-08-10 08:00:00
201,16.0,2019-08-10 09:00:00
202,18.0,2019-08-10 10:00:00
203,22.0,2019-08-10 11:00:00
204,23.0,2019-08-10 12:00:00
205,17.0,2019-08-10 13:00:00
206,7.0,2019-08-10 14:00:00
207,9.0,2019-08-10 15:00:00
208,5.0,2019-08-10 16:00:00
209,1.0,2019-08-10 17:00:00
210,12.0,2019-08-10 18:00:00
211,11.0,2019-08-10 19:00:00
212,9.0,2019-08-10 20:00:00
213,22.0,2019-08-10 21:00:00
214,14.0,2019-08-10 22:00:00
215,29.0,2019-08-10 23:00:00
216,18.0,2019-08-11 00:00:00
217,22.0,2019-08-11 01:00:00
218,23.0,2019-08-11 02:00:00
219,57.0,2019-08-11 03:00:00
220,66.0,2019-08-11 04:00:00
221,84.0,2019-08-11 05:00:00
222,62.0,2019-08-11 06:00:00
1894,,2019-08-11 07:00:00
223,25.0,2019-08-11 08:00:00
224,24.0,2019-08-11 09:00:00
225,13.0,2019-08-11 10:00:00
226,19.0,2019-08-11 11:00:00
227,18.0,2019-08-11 12:00:00
228,24.0,2019-08-11 13:00:00
229,18.0,2019-08-11 14:00:00
230,17.0,2019-08-11 15:00:00
231,12.0,2019-08-11 16:00:00
232,16.0,2019-08-11 17:00:00
233,19.0,2019-08-11 18:00:00
234,27.0,2019-08-11 19:00:00
235,17.0,2019-08-11 20:00:00
236,42.0,2019-08-11 21:00:00
237,52.0,2019-08-11 22:00:00
