location,city,country,utc,local,parameter,value,unit,latitude,longitude,attribution
US Diplomatic Post: New Delhi,Delhi,IN,2019-11-13T18:30:00.000Z,2019-11-14T00:00:00+05:30,pm25,397,µg/m³,28.63576,77.22445,"[{""name"":""EPA AirNow DOS"",""url"":""http://airnow.gov/index.cfm?action=airnow.global_summary""}]"
"Alipur, Delhi - DPCC",Delhi,IN,2019-11-13T18:30:00.000Z,2019-11-14T00:00:00+05:30,pm25,328,µg/m³,28.815329,77.15301,"[{""name"":""Central Pollution Control Board"",""url"":""https://app.cpcbccr.com/ccr/#/caaqm-dashboard-all/caaqm-landing""}]"
"Narela, Delhi - DPCC",Delhi,IN,2019-11-13T18:30:00.000Z,2019-11-14T00:00:00+05:30,pm25,306,µg/m³,28.822836,77.101981,"[{""name"":""Central Pollution Control Board"",""url"":""https://app.cpcbccr.com/ccr/#/caaqm-dashboard-all/caaqm-landing""}]"
"Vivek Vihar, Delhi - DPCC",Delhi,IN,2019-11-13T18:30:00.000Z,2019-11-14T00:00:00+05:30,pm25,354,µg/m³,28.672342,77.31526,"[{""name"":""Central Pollution Control Board"",""url"":""https://app.cpcbccr.com/ccr/#/caaqm-dashboard-all/caaqm-landing""}]"
"Okhla Phase-2, Delhi - DPCC",Delhi,IN,2019-11-13T18:30:00.000Z,2019-11-14T00:00:00+05:30,pm25,367,µg/m³,28.530785,77.271255,"[{""name"":""Central Pollution Control Board"",""url"":""https://app.cpcbccr.com/ccr/#/caaqm-dashboard-all/caaqm-landing""}]"
"Ashok Vihar, Delhi - DPCC",Delhi,IN,2019-11-13T18:30:00.000Z,2019-11-14T00:00:00+05:30,pm25,404,µg/m³,28.695381,77.181665,"[{""name"":""Central Pollution Control Board"",""url"":""https://app.cpcbccr.com/ccr/#/caaqm-dashboard-all/caaqm-landing""}]"
"Anand Vihar, Delhi - DPCC",Delhi,IN,2019-11-13T18:30:00.000Z,2019-11-14T00:00:00+05:30,pm25,371,µg/m³,28.646835,77.316032,"[{""name"":""Central Pollution Control Board"",""url"":""https://app.cpcbccr.com/ccr/#/caaqm-dashboard-all/caaqm-landing""}]"
"R K Puram, Delhi - DPCC",Delhi,IN,2019-11-13T18:30:00.000Z,2019-11-14T00:00:00+05:30,pm25,310,µg/m³,28.563262,77.186937,"[{""name"":""Central Pollution Control Board"",""url"":""https://app.cpcbccr.com/ccr/#/caaqm-dashboard-all/caaqm-landing""}]"
"Punjabi Bagh, Delhi - DPCC",Delhi,IN,2019-11-13T18:30:00.000Z,2019-11-14T00:00:00+05:30,pm25,407,µg/m³,28.674045,77.131023,"[{""name"":""Central Pollution Control Board"",""url"":""https://app.cpcbccr.com/ccr/#/caaqm-dashboard-all/caaqm-landing""}]"
"Mandir Marg, Delhi - DPCC",Delhi,IN,2019-11-13T18:30:00.000Z,2019-11-14T00:00:00+05:30,pm25,335,µg/m³,28.636429,77.201067,"[{""name"":""Central Pollution Control Board"",""url"":""https://app.cpcbccr.com/ccr/#/caaqm-dashboard-all/caaqm-landing""}]"
"Bawana, Delhi - DPCC",Delhi,IN,2019-11-13T18:30:00.000Z,2019-11-14T00:00:00+05:30,pm25,436,µg/m³,28.7762,77.051074,"[{""name"":""Central Pollution Control Board"",""url"":""https://app.cpcbccr.com/ccr/#/caaqm-dashboard-all/caaqm-landing""}]"
"Patparganj, Delhi - DPCC",Delhi,IN,2019-11-13T18:30:00.000Z,2019-11-14T00:00:00+05:30,pm25,310,µg/m³,28.623748,77.287205,"[{""name"":""Central Pollution Control Board"",""url"":""https://app.cpcbccr.com/ccr/#/caaqm-dashboard-all/caaqm-landing""}]"
"Sonia Vihar, Delhi - DPCC",Delhi,IN,2019-11-13T18:30:00.000Z,2019-11-14T00:00:00+05:30,pm25,332,µg/m³,28.710508,77.249485,"[{""name"":""Central Pollution Control Board"",""url"":""https://app.cpcbccr.com/ccr/#/caaqm-dashboard-all/caaqm-landing""}]"
